ts,slug,token_id,decision_type,mid,action_side,action_price,action_size,spread,sport,ref_source,fair_a,fair_b,momentum,symbol,book_edge_delta,book_size_mult,retrieved_categories,exit_sweep,crypto_exit,exit_reason,exit_reason_category,pnl_pct_at_exit,cash_pnl_usdc,realized_pnl,percent_pnl_current,outcome,market_resolved,holding_hours
2026-06-10T23:10:12.540218+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.9995,SELL,0.9965,113.84,,,,,,,,,,,,True,STOP-LOSS: -78.7% <= -5.0% — cutting loss,STOP-LOSS,-78.7,,,,loss,,0.17
2026-06-10T23:10:12.749653+00:00,ethereum-up-or-down-june-10-2026-6pm-et,,hold,0.9995,,,,,,,,,0.00162666236201302,ETHUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:10:12.823937+00:00,btc-updown-5m-1781145900,,hold,0.505,,,,,,,,,-7.591342212974951e-05,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:10:12.860146+00:00,bitcoin-up-or-down-june-10-2026-7pm-et,,hold,0.295,,,,,,,,,-7.591342212974951e-05,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:10:12.896361+00:00,btc-updown-4h-1781121600,,hold,0.025,,,,,,,,,-7.591342212974951e-05,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:10:12.973950+00:00,bitcoin-up-or-down-june-10-2026-9pm-et,,hold,0.5,,,,,,,,,-7.591342212974951e-05,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:10:12.992581+00:00,nba-sas-nyk-2026-06-10,,hold,0.455,,,,0.01,nba,espn/draftkings,0.448558885283451,0.551441114716549,,,0.0025,0.96,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:10:22.601338+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.0005,SELL,-0.0025,113.84,,,,,,,,,,,True,,STOP-LOSS: -78.7% <= -5.0% — cutting loss,STOP-LOSS,-78.7,,,,loss,,0.18
2026-06-10T23:10:23.183189+00:00,bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,exit,0.305,SELL,0.302,12.32,,,,,,,,,,,True,,TAKE-PROFIT: +45.2% >= 8.0% — locking gains,TAKE-PROFIT,45.2,,,,win,,0.01
2026-06-10T23:10:27.045300+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.9995,SELL,0.9965,113.84,,,,,,,,,,,,True,STOP-LOSS: -78.7% <= -5.0% — cutting loss,STOP-LOSS,-78.7,,,,loss,,0.18
