slug,token_id,sport,symbol,entry_ts,exit_ts,holding_hours,entry_mid,exit_mid,entry_price,exit_price,size,spread_at_entry,fair_a,fair_b,momentum,book_edge_delta,book_size_mult,ref_source,exit_reason,exit_reason_category,pnl_pct,cash_pnl_usdc,realized_pnl,outcome,market_resolved
bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,,BTCUSDT,2026-06-10T23:07:10.450742+00:00,2026-06-10T23:07:35.963301+00:00,0.01,0.435,0.465,0.447,0.462,7.53,,,,0.001514023821142186,0.004,0.94,,QUICK-SCALP: +5.7% / +5.7% from entry — fast rotation,OTHER,5.7,0.113,,win,
eth-updown-4h-1781121600,19081741014748794516029402813319554029017429403288688164010143816872714743502,,ETHUSDT,2026-06-10T22:55:06.601873+00:00,2026-06-10T23:08:08.277580+00:00,0.22,0.175,0.075,0.187,0.072,22.21,,,,0.005431510208135471,,,,STOP-LOSS: -41.7% <= -5.0% — cutting loss,STOP-LOSS,-41.7,-2.5542,,loss,
eth-updown-4h-1781121600,19081741014748794516029402813319554029017429403288688164010143816872714743502,,ETHUSDT,2026-06-10T23:08:26.011428+00:00,2026-06-10T23:08:51.192153+00:00,0.01,0.065,0.065,0.077,0.062,111.79,,,,0.00319744700930045,0.004,0.94,,STOP-LOSS: -41.7% <= -5.0% — cutting loss,STOP-LOSS,-41.7,-1.6768,,loss,
bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,,BTCUSDT,2026-06-10T23:08:27.151250+00:00,2026-06-10T23:09:07.300287+00:00,0.01,0.435,0.415,0.447,0.412,15.75,,,,0.0012758352557931565,0.004,0.94,,TAKE-PROFIT: +8.2% >= 8.0% — locking gains,TAKE-PROFIT,8.2,-0.5513,,win,
bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,,BTCUSDT,2026-06-10T23:09:27.999223+00:00,2026-06-10T23:09:38.151285+00:00,,0.415,0.415,0.427,0.412,7.65,,,,0.0010449931506503012,0.004,0.94,,TAKE-PROFIT: +8.2% >= 8.0% — locking gains,TAKE-PROFIT,8.2,-0.1148,,win,
bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,,BTCUSDT,2026-06-10T23:09:59.107229+00:00,2026-06-10T23:10:23.183189+00:00,0.01,0.315,0.305,0.327,0.302,12.32,,,,-7.591342212974951e-05,0.004,0.94,,TAKE-PROFIT: +45.2% >= 8.0% — locking gains,TAKE-PROFIT,45.2,-0.308,,win,
bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,,BTCUSDT,2026-06-10T23:10:45.554842+00:00,2026-06-10T23:10:55.561290+00:00,,0.315,0.315,0.327,0.312,12.33,,,,-0.00013174651969609995,0.004,0.94,,TAKE-PROFIT: +45.2% >= 8.0% — locking gains,TAKE-PROFIT,45.2,-0.185,,win,
bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,,BTCUSDT,2026-06-10T23:11:16.607245+00:00,2026-06-10T23:11:26.716292+00:00,,0.265,0.265,0.277,0.262,14.60,,,,-0.00013174651969609995,0.004,0.94,,TAKE-PROFIT: +45.3% >= 8.0% — locking gains,TAKE-PROFIT,45.3,-0.219,,win,
bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,,BTCUSDT,2026-06-10T23:11:48.682432+00:00,2026-06-10T23:11:58.826401+00:00,,0.275,0.285,0.28700000000000003,0.282,13.14,,,,-0.0008489242904829547,0.004,0.94,,TAKE-PROFIT: +72.2% >= 8.0% — locking gains,TAKE-PROFIT,72.2,-0.0657,,win,
bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,,BTCUSDT,2026-06-10T23:12:17.967868+00:00,2026-06-10T23:12:28.252170+00:00,,0.305,0.295,0.317,0.292,12.72,,,,-0.00032634608782216413,0.004,0.94,,TAKE-PROFIT: +55.0% >= 8.0% — locking gains,TAKE-PROFIT,55.0,-0.318,,win,
bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,,BTCUSDT,2026-06-10T23:12:48.286082+00:00,2026-06-10T23:13:13.910075+00:00,0.01,0.255,0.275,0.267,0.272,28.16,,,,-0.00032634608782216413,0.004,0.94,,TAKE-PROFIT: +66.0% >= 8.0% — locking gains,TAKE-PROFIT,66.0,0.1408,,win,
bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,,BTCUSDT,2026-06-10T23:13:32.503150+00:00,2026-06-10T23:13:42.658331+00:00,,0.265,0.275,0.277,0.272,14.60,,,,-0.000555065882238855,0.004,0.94,,TAKE-PROFIT: +66.1% >= 8.0% — locking gains,TAKE-PROFIT,66.1,-0.073,,win,
